08-11-2026 23:05:17 RAM 4561/7607MB (lfb 170x4MB) SWAP 1428/16384MB (cached 137MB) CPU [2%@729,2%@729,2%@729,1%@729,8%@729,0%@729] GR3D_FREQ 96% cpu@57.25C soc2@56.093C soc0@56.906C gpu@58C tj@58C soc1@56.281C VDD_IN 14610mW/12753mW VDD_CPU_GPU_CV 6140mW/5124mW VDD_SOC 3790mW/3232mW
08-11-2026 23:05:18 RAM 4563/7607MB (lfb 171x4MB) SWAP 1428/16384MB (cached 137MB) CPU [2%@729,1%@729,2%@729,1%@729,8%@729,0%@729] GR3D_FREQ 99% cpu@56.781C soc2@56.093C soc0@57.062C gpu@57.812C tj@57.812C soc1@56.437C VDD_IN 14238mW/12808mW VDD_CPU_GPU_CV 5982mW/5156mW VDD_SOC 3632mW/3247mW
08-11-2026 23:05:19 RAM 4565/7607MB (lfb 171x4MB) SWAP 1428/16384MB (cached 137MB) CPU [0%@729,2%@729,3%@729,1%@729,9%@729,0%@729] GR3D_FREQ 99% cpu@57.062C soc2@56.25C soc0@57.093C gpu@57.906C tj@57.906C soc1@56.218C VDD_IN 14080mW/12853mW VDD_CPU_GPU_CV 5825mW/5180mW VDD_SOC 3632mW/3261mW
08-11-2026 23:05:20 RAM 4567/7607MB (lfb 170x4MB) SWAP 1428/16384MB (cached 137MB) CPU [1%@729,1%@729,0%@729,3%@729,8%@729,0%@729] GR3D_FREQ 99% cpu@57.281C soc2@56.156C soc0@57.031C gpu@58.093C tj@58.093C soc1@56.343C VDD_IN 14357mW/12905mW VDD_CPU_GPU_CV 5982mW/5208mW VDD_SOC 3711mW/3276mW
08-11-2026 23:05:21 RAM 4569/7607MB (lfb 170x4MB) SWAP 1428/16384MB (cached 137MB) CPU [9%@729,2%@729,2%@729,3%@729,9%@729,0%@729] GR3D_FREQ 97% cpu@57.25C soc2@56.312C soc0@57.062C gpu@58.5C tj@58.5C soc1@56.375C VDD_IN 14729mW/12966mW VDD_CPU_GPU_CV 6218mW/5241mW VDD_SOC 3784mW/3293mW
08-11-2026 23:05:22 RAM 4571/7607MB (lfb 171x4MB) SWAP 1428/16384MB (cached 137MB) CPU [13%@729,3%@729,5%@729,3%@729,7%@729,0%@729] GR3D_FREQ 99% cpu@57.312C soc2@56.25C soc0@57.187C gpu@58.187C tj@58.187C soc1@56.468C VDD_IN 14238mW/13007mW VDD_CPU_GPU_CV 5982mW/5265mW VDD_SOC 3632mW/3304mW
08-11-2026 23:05:23 RAM 4574/7607MB (lfb 171x4MB) SWAP 1428/16384MB (cached 137MB) CPU [2%@729,1%@729,2%@729,1%@729,10%@729,0%@729] GR3D_FREQ 48% cpu@56.937C soc2@56.25C soc0@57.218C gpu@58.25C tj@58.25C soc1@56.375C VDD_IN 13882mW/13034mW VDD_CPU_GPU_CV 5755mW/5280mW VDD_SOC 3593mW/3313mW
08-11-2026 23:05:24 RAM 4576/7607MB (lfb 170x4MB) SWAP 1428/16384MB (cached 137MB) CPU [1%@729,2%@729,1%@729,1%@729,9%@729,0%@729] GR3D_FREQ 99% cpu@57.25C soc2@56.281C soc0@57.125C gpu@58C tj@58C soc1@56.406C VDD_IN 14317mW/13073mW VDD_CPU_GPU_CV 5943mW/5301mW VDD_SOC 3672mW/3324mW
08-11-2026 23:05:25 RAM 4577/7607MB (lfb 170x4MB) SWAP 1428/16384MB (cached 137MB) CPU [0%@729,1%@729,2%@729,3%@729,7%@729,0%@729] GR3D_FREQ 99% cpu@57.281C soc2@56.25C soc0@57.125C gpu@58.156C tj@58.156C soc1@56.468C VDD_IN 14452mW/13114mW VDD_CPU_GPU_CV 6061mW/5323mW VDD_SOC 3751mW/3337mW
08-11-2026 23:05:26 RAM 4579/7607MB (lfb 171x4MB) SWAP 1428/16384MB (cached 137MB) CPU [6%@729,1%@729,3%@729,2%@729,9%@729,0%@729] GR3D_FREQ 97% cpu@57.125C soc2@56.312C soc0@57.187C gpu@58.281C tj@58.281C soc1@56.468C VDD_IN 14531mW/13154mW VDD_CPU_GPU_CV 6140mW/5346mW VDD_SOC 3711mW/3347mW
