08-11-2026 15:24:59 RAM 6346/7607MB (lfb 38x4MB) SWAP 158/16384MB (cached 87MB) CPU [1%@729,1%@729,1%@729,15%@729,1%@729,1%@729] GR3D_FREQ 99% cpu@61.156C soc2@60.125C soc0@60.687C gpu@62.187C tj@62.187C soc1@59.968C VDD_IN 16216mW/14474mW VDD_CPU_GPU_CV 6893mW/5962mW VDD_SOC 4126mW/3686mW
08-11-2026 15:25:00 RAM 6350/7607MB (lfb 39x4MB) SWAP 158/16384MB (cached 87MB) CPU [17%@729,6%@729,4%@729,17%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@60.937C soc2@60.156C soc0@60.781C gpu@62.312C tj@62.312C soc1@60.125C VDD_IN 16255mW/14526mW VDD_CPU_GPU_CV 6971mW/5992mW VDD_SOC 4126mW/3699mW
08-11-2026 15:25:01 RAM 6351/7607MB (lfb 39x4MB) SWAP 158/16384MB (cached 87MB) CPU [3%@729,0%@729,3%@729,17%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@60.937C soc2@60.062C soc0@61.031C gpu@62.25C tj@62.25C soc1@59.906C VDD_IN 16255mW/14576mW VDD_CPU_GPU_CV 6893mW/6018mW VDD_SOC 4165mW/3712mW
08-11-2026 15:25:02 RAM 6453/7607MB (lfb 28x4MB) SWAP 158/16384MB (cached 87MB) CPU [4%@1344,9%@1344,1%@1344,9%@1344,14%@1344,15%@1344] GR3D_FREQ 0% cpu@60.5C soc2@59.625C soc0@60.875C gpu@60.625C tj@60.875C soc1@60C VDD_IN 10015mW/14449mW VDD_CPU_GPU_CV 3174mW/5939mW VDD_SOC 2976mW/3692mW
08-11-2026 15:25:03 RAM 6656/7607MB (lfb 1x2MB) SWAP 158/16384MB (cached 87MB) CPU [68%@1344,69%@1344,65%@1344,63%@1344,65%@1344,69%@1344] GR3D_FREQ 0% cpu@60.593C soc2@59.218C soc0@60.312C gpu@59.906C tj@60.593C soc1@59.781C VDD_IN 7854mW/14271mW VDD_CPU_GPU_CV 2507mW/5846mW VDD_SOC 1794mW/3641mW
08-11-2026 15:25:04 RAM 6710/7607MB (lfb 1x4MB) SWAP 158/16384MB (cached 87MB) CPU [18%@729,16%@729,19%@729,25%@729,16%@729,14%@729] GR3D_FREQ 99% cpu@60.687C soc2@59.593C soc0@60.406C gpu@61.375C tj@61.375C soc1@59.718C VDD_IN 14571mW/14279mW VDD_CPU_GPU_CV 6090mW/5852mW VDD_SOC 3587mW/3639mW
08-11-2026 15:25:05 RAM 6713/7607MB (lfb 1x4MB) SWAP 158/16384MB (cached 87MB) CPU [6%@1344,3%@1344,2%@1344,13%@1344,0%@729,2%@729] GR3D_FREQ 99% cpu@60.625C soc2@59.781C soc0@60.531C gpu@61.687C tj@61.687C soc1@59.875C VDD_IN 15690mW/14315mW VDD_CPU_GPU_CV 6630mW/5872mW VDD_SOC 4014mW/3649mW
08-11-2026 15:25:06 RAM 6740/7607MB (lfb 3x2MB) SWAP 158/16384MB (cached 87MB) CPU [4%@729,23%@729,4%@729,13%@729,4%@729,1%@729] GR3D_FREQ 99% cpu@60.687C soc2@59.812C soc0@60.593C gpu@61.812C tj@61.812C soc1@59.812C VDD_IN 15809mW/14352mW VDD_CPU_GPU_CV 6708mW/5893mW VDD_SOC 4054mW/3659mW
08-11-2026 15:25:07 RAM 6741/7607MB (lfb 3x2MB) SWAP 158/16384MB (cached 87MB) CPU [1%@729,15%@729,1%@729,1%@729,0%@729,0%@729] GR3D_FREQ 99% cpu@60.812C soc2@59.937C soc0@60.812C gpu@61.968C tj@61.968C soc1@59.843C VDD_IN 16176mW/14397mW VDD_CPU_GPU_CV 6893mW/5918mW VDD_SOC 4165mW/3671mW
08-11-2026 15:25:08 RAM 6741/7607MB (lfb 3x2MB) SWAP 158/16384MB (cached 87MB) CPU [2%@729,4%@729,1%@729,14%@729,0%@729,0%@729] GR3D_FREQ 93% cpu@60.875C soc2@59.937C soc0@60.687C gpu@62.062C tj@62.062C soc1@59.875C VDD_IN 16019mW/14435mW VDD_CPU_GPU_CV 6787mW/5938mW VDD_SOC 4132mW/3682mW
