08-11-2026 17:35:01 RAM 5332/7607MB (lfb 16x4MB) SWAP 1418/16384MB (cached 142MB) CPU [6%@729,19%@729,6%@729,6%@729,92%@1344,0%@1344] GR3D_FREQ 99% cpu@58.593C soc2@57.531C soc0@58.218C gpu@59.437C tj@59.437C soc1@57.312C VDD_IN 17397mW/16079mW VDD_CPU_GPU_CV 7820mW/7446mW VDD_SOC 4165mW/3687mW
08-11-2026 17:35:02 RAM 5333/7607MB (lfb 16x4MB) SWAP 1418/16384MB (cached 142MB) CPU [2%@729,2%@729,2%@729,2%@729,92%@1344,0%@1344] GR3D_FREQ 99% cpu@58.593C soc2@57.531C soc0@58.312C gpu@59.937C tj@59.937C soc1@57.437C VDD_IN 17239mW/16122mW VDD_CPU_GPU_CV 8303mW/7478mW VDD_SOC 3929mW/3696mW
08-11-2026 17:35:03 RAM 5334/7607MB (lfb 16x4MB) SWAP 1418/16384MB (cached 142MB) CPU [2%@729,3%@729,3%@729,1%@729,92%@1344,0%@1344] GR3D_FREQ 99% cpu@58.875C soc2@57.593C soc0@58.281C gpu@59.593C tj@59.593C soc1@57.468C VDD_IN 17318mW/16165mW VDD_CPU_GPU_CV 8407mW/7511mW VDD_SOC 3929mW/3705mW
08-11-2026 17:35:04 RAM 5334/7607MB (lfb 16x4MB) SWAP 1418/16384MB (cached 142MB) CPU [3%@729,1%@729,2%@729,2%@729,91%@1344,0%@1344] GR3D_FREQ 99% cpu@58.812C soc2@57.781C soc0@58.437C gpu@59.875C tj@59.875C soc1@57.687C VDD_IN 17722mW/16218mW VDD_CPU_GPU_CV 8641mW/7550mW VDD_SOC 4001mW/3715mW
08-11-2026 17:35:05 RAM 5334/7607MB (lfb 16x4MB) SWAP 1418/16384MB (cached 142MB) CPU [1%@729,3%@729,1%@729,2%@729,97%@1344,0%@1344] GR3D_FREQ 96% cpu@58.968C soc2@57.812C soc0@58.687C gpu@59.875C tj@59.875C soc1@57.75C VDD_IN 17436mW/16259mW VDD_CPU_GPU_CV 8641mW/7587mW VDD_SOC 3851mW/3719mW
08-11-2026 17:35:06 RAM 5332/7607MB (lfb 16x4MB) SWAP 1418/16384MB (cached 142MB) CPU [5%@729,9%@729,18%@729,5%@729,95%@1344,0%@1344] GR3D_FREQ 98% cpu@58.843C soc2@57.906C soc0@58.718C gpu@60.187C tj@60.187C soc1@57.781C VDD_IN 17722mW/16306mW VDD_CPU_GPU_CV 8837mW/7627mW VDD_SOC 3883mW/3725mW
08-11-2026 17:35:07 RAM 5333/7607MB (lfb 16x4MB) SWAP 1418/16384MB (cached 142MB) CPU [3%@729,3%@729,1%@729,1%@729,92%@1344,0%@1344] GR3D_FREQ 98% cpu@58.937C soc2@58C soc0@58.656C gpu@60.156C tj@60.156C soc1@57.687C VDD_IN 17486mW/16343mW VDD_CPU_GPU_CV 8641mW/7659mW VDD_SOC 3890mW/3730mW
08-11-2026 17:35:08 RAM 5333/7607MB (lfb 16x4MB) SWAP 1418/16384MB (cached 142MB) CPU [4%@729,1%@729,1%@729,1%@729,92%@1344,0%@1344] GR3D_FREQ 97% cpu@59.156C soc2@57.968C soc0@58.718C gpu@60.375C tj@60.375C soc1@57.843C VDD_IN 17526mW/16379mW VDD_CPU_GPU_CV 8641mW/7688mW VDD_SOC 3890mW/3735mW
08-11-2026 17:35:09 RAM 5334/7607MB (lfb 16x4MB) SWAP 1418/16384MB (cached 142MB) CPU [2%@729,3%@729,2%@729,4%@729,92%@1344,0%@1344] GR3D_FREQ 97% cpu@59.281C soc2@58.093C soc0@58.812C gpu@60.437C tj@60.437C soc1@58C VDD_IN 17526mW/16413mW VDD_CPU_GPU_CV 8563mW/7714mW VDD_SOC 3929mW/3740mW
08-11-2026 17:35:10 RAM 5334/7607MB (lfb 16x4MB) SWAP 1418/16384MB (cached 142MB) CPU [4%@729,1%@729,2%@729,2%@729,92%@1344,0%@1344] GR3D_FREQ 97% cpu@59.406C soc2@58.218C soc0@59C gpu@60.531C tj@60.531C soc1@58.125C VDD_IN 17526mW/16444mW VDD_CPU_GPU_CV 8485mW/7736mW VDD_SOC 3929mW/3746mW
